"date","proposal","who","state"
"
1121124
","

新住民權益基本法草案

","
賴品妤
","
 1121124   一讀(委員會待審)
"
"
1121124
","

國家海洋科技營運中心設置條例草案

","
賴品妤等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

國家語言研究發展中心設置條例草案

","
蔡培慧等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

兒童及少年福利與權益保障法第十三條及第七十七條之一條文修正草案

","
蔡培慧
","
 1121124   一讀(委員會待審)
"
"
1121124
","

農村再生條例第七條及第十五條條文修正草案

","
蔡易餘等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

森林法部分條文修正草案

","
蔡易餘等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

住宅法第四條條文修正草案

","
余天等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

都市危險及老舊建築物加速重建條例增訂第五條之一條文草案

","
余天等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

運動產業發展條例增訂第二十四條之一條文草案

","
余天等
","
 1121215   三讀
"
"
1121124
","

政黨法第七條條文修正草案

","
余天等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

醫療法第八十四條條文修正草案

","
余天等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

教師法部分條文修正草案

","
吳思瑤等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

私立高級中等以上學校退場條例第二十四條條文修正草案

","
鄭正鈐
","
 1121124   一讀(委員會待審)
"
"
1121124
","

教師法部分條文修正草案

","
陳靜敏等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

教師法部分條文修正草案

","
林宜瑾
","
 1121124   一讀(委員會待審)
"
"
1121124
","

學校衛生法部分條文修正草案

","
蔡適應等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

全民國防教育法第八條及第九條條文修正草案

","
蔡適應等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

民法第一千零八十五條條文修正草案

","
蔡適應等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

兒童及少年福利與權益保障法第四十九條條文修正草案

","
蔡適應等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

軍人待遇條例第五條條文修正草案

","
蔡適應等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

警察法部分條文修正草案

","
莊瑞雄等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

中華民國專屬經濟海域及大陸礁層法第十八條條文修正草案

","
莊瑞雄等
","
 1121218   三讀
"
"
1121124
","

土石採取法第三十六條條文修正草案

","
蔡易餘等
","
 1121218   三讀
"
"
1121124
","

中華民國專屬經濟海域及大陸礁層法第十八條條文修正草案

","
蔡易餘等
","
 1121218   三讀
"
"
1121124
","

不動產證券化條例部分條文修正草案

","
郭國文
","
 1121124   一讀(委員會待審)
"
"
1121124
","

消防法第四十三條之一條文修正草案

","
張育美等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

食品安全衛生管理法第四十五條條文修正草案

","
張育美
","
 1121124   一讀(委員會待審)
"
"
1121124
","

電子簽章法修正草案

","
台灣民眾黨黨團等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

護理人員法增訂第十四條之一條文草案

","
時代力量黨團等
","
 1121124   一讀(委員會待審)
"
"
1121117
","

農藥管理法第三十三條條文修正草案

","
溫玉霞
","
 1121117   一讀(委員會待審)
"
"
1121117
","

國民年金法第十五條及第五十條條文修正草案

","
溫玉霞等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

食品安全衛生管理法增訂第五十二條之一條文草案

","
溫玉霞
","
 1121117   一讀(委員會待審)
"
"
1121117
","

家庭暴力防治法第四條及第六十條條文修正草案

","
溫玉霞
","
 1121117   一讀(委員會待審)
"
"
1121117
","

道路交通安全基本法草案

","
湯蕙禎
","
 1121201   三讀
"
"
1121117
","

農業發展條例第六十條條文修正草案

","
廖婉汝等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

刑事訴訟法第一百八十二條條文修正草案

","
劉建國等
","
 1121201   三讀
"
"
1121117
","

社會救助法部分條文修正草案

","
林為洲
","
 1121117   一讀(委員會待審)
"
"
1121117
","

兒童及少年福利與權益保障法第二十六條之一、第八十一條及第八十一條之一條文修正草案

","
林為洲
","
 1121117   一讀(委員會待審)
"
"
1121117
","

性別平等教育法第二十九條及第三十條條文修正草案

","
林為洲
","
 1121117   一讀(委員會待審)
"
"
1121117
","

肥料管理法第二十八條條文修正草案

","
羅美玲
","
 1121117   一讀(委員會待審)
"
"
1121117
","

住宅法部分條文修正草案

","
羅美玲等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

都市危險及老舊建築物加速重建條例增訂第五條之一條文草案

","
羅美玲等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

性別平等工作法第二十條之一及第二十一條條文修正草案

","
林楚茵等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

全民健康保險法第十三條條文修正草案

","
林楚茵
","
 1121117   一讀(委員會待審)
"
"
1121117
","

證券投資信託及顧問法第一條、第二條及第三條之一條文修正草案

","
林楚茵
","
 1121117   一讀(委員會待審)
"
"
1121117
","

證券投資人及期貨交易人保護法第十條之一條文修正草案

","
林楚茵
","
 1121117   一讀(委員會待審)
"
"
1121117
","

消費者債務清理條例第二條條文修正草案

","
江永昌等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

檢察署組織法草案

","
江永昌
","
 1121117   一讀(委員會待審)
"
"
1121117
","

洗錢防制法部分條文修正草案

","
江永昌等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

金融監督管理委員會虛擬資產局組織法草案

","
江永昌等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

廢止勞動契約法

","
江永昌
","
 1121117   一讀(委員會待審)
"
"
1121117
","

消防法第四十三條及第四十三條之一條文修正草案

","
沈發惠等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

廢止經濟部工業局組織條例

","
沈發惠
","
 1121117   一讀(委員會待審)
"
"
1121117
","

廢止經濟部中小企業處組織條例

","
沈發惠
","
 1121117   一讀(委員會待審)
"
"
1121117
","

廢止經濟部中央地質調查所組織條例

","
沈發惠
","
 1121117   一讀(委員會待審)
"
"
1121117
","

廢止經濟部水利署水利規劃試驗所組織條例

","
沈發惠
","
 1121117   一讀(委員會待審)
"
"
1121117
","

廢止經濟部水利署各河川局組織通則

","
沈發惠
","
 1121117   一讀(委員會待審)
"
"
1121117
","

廢止經濟部水利署各區水資源局組織通則

","
沈發惠
","
 1121117   一讀(委員會待審)
"
"
1121117
","

廢止經濟部水利署組織條例

","
沈發惠
","
 1121117   一讀(委員會待審)
"
"
1121117
","

廢止經濟部能源局組織條例

","
沈發惠
","
 1121117   一讀(委員會待審)
"
"
1121117
","

廢止經濟部產業園區管理局組織條例

","
沈發惠
","
 1121117   一讀(委員會待審)
"
"
1121117
","

廢止經濟部智慧財產局組織條例

","
沈發惠
","
 1121117   一讀(委員會待審)
"
"
1121117
","

廢止經濟部標準檢驗局所屬各分局組織通則

","
沈發惠
","
 1121117   一讀(委員會待審)
"
"
1121117
","

廢止經濟部標準檢驗局組織條例

","
沈發惠
","
 1121117   一讀(委員會待審)
"
"
1121117
","

立法院程序委員會組織規程第五條條文修正草案

","
民進黨黨團等
","
 1121212   三讀
"
"
1121117
","

臺灣地區與大陸地區人民關係條例第二十一條條文修正草案

","
王定宇等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

香港澳門關係條例第十六條條文修正草案

","
王定宇等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

住宅法第三條及第四條條文修正草案

","
李昆澤等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

目標性制裁法草案

","
江永昌等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

資恐防制法修正草案

","
江永昌等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

臺灣地區與大陸地區人民關係條例第二十一條條文修正草案

","
湯蕙禎
","
 1121117   一讀(委員會待審)
"
"
1121117
","

教育人員任用條例部分條文修正草案

","
蘇巧慧等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

教師法部分條文修正草案

","
蘇巧慧等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

槍砲彈藥刀械管制條例部分條文修正草案

","
游毓蘭
","
 1121218   三讀
"
"
1121117
","

碳稅條例草案

","
台灣民眾黨黨團等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

住宅法第三條及第四條條文修正草案

","
台灣民眾黨黨團等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

安樂死條例草案

","
時代力量黨團等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

中華民國刑法第二百七十五條條文修正草案

","
時代力量黨團等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

再生能源發展條例第三條及第十三條條文修正草案

","
時代力量黨團等
","
 1121117   一讀(委員會待審)
"
"
1121117
","

中央政府總預算案審查程序第三條條文修正草案

","
民進黨黨團等
","
 1121218   三讀
"
"
1121110
","

學校午餐及飲食教育法草案

","
陳培瑜等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

都市危險及老舊建築物加速重建條例增訂第五條之一條文草案

","
賴品妤等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

道路交通安全基本法草案

","
賴品妤等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

客語發展法草案

","
黃世杰
","
 1121110   一讀(委員會待審)
"
"
1121110
","

公民投票法第七條條文修正草案

","
黃世杰
","
 1121110   一讀(委員會待審)
"
"
1121110
","

法官法第七十七條、第七十八條及第八十條條文修正草案

","
黃世杰等
","
 1121205   三讀
"
"
1121110
","

警察人員人事條例第三十五條及第三十六條條文修正草案

","
黃世杰等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

國營國際機場園區股份有限公司設置條例第十八條條文修正草案

","
黃世杰等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

私立學校法第七十一條條文修正草案

","
王鴻薇
","
 1121110   一讀(委員會待審)
"
"
1121110
","

濕地保育法第十九條條文修正草案

","
黃國書
","
 1121110   一讀(委員會待審)
"
"
1121110
","

學校衛生法第六條條文修正草案

","
黃國書等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

博物館法第七條條文修正草案

","
黃國書
","
 1121110   一讀(委員會待審)
"
"
1121110
","

運動產業發展條例增訂第二十四條之一條文草案

","
黃國書
","
 1121215   三讀
"
"
1121110
","

所得稅法第十七條條文修正草案

","
黃國書
","
 1121219   三讀
"
"
1121110
","

最低工資法草案

","
李昆澤等
","
 1121212   三讀
"
"
1121110
","

文化資產保存法第一百零二條條文修正草案

","
李昆澤等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

運動產業發展條例增訂第二十四條之一條文草案

","
陳亭妃等
","
 1121215   三讀
"
"
1121110
","

國際合作發展法第七條條文修正草案

","
羅致政
","
 1121110   一讀(委員會待審)
"
"
1121110
","

學生輔導法第四條及第七條條文修正草案

","
許智傑等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

學生輔導法第十一條條文修正草案

","
許智傑等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

引水法第六條條文修正草案

","
許智傑等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

船員法第十二條條文修正草案

","
許智傑等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

公職人員選舉罷免法第二十七條條文修正草案

","
許智傑等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

客家基本法第四條條文修正草案

","
許智傑等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

國民年金法第五十四條之一條文修正草案

","
陳素月等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

道路交通安全基本法草案

","
林俊憲等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

道路交通管理處罰條例第九十二條條文修正草案

","
林俊憲
","
 1121110   一讀(委員會待審)
"
"
1121110
","

緊急醫療救護法第四十四條條文修正草案

","
林俊憲
","
 1121110   一讀(委員會待審)
"
"
1121110
","

私立高級中等以上學校退場條例第二十四條條文修正草案

","
國民黨黨團等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

道路交通安全基本法草案

","
洪申翰等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

廢棄物清理法部分條文修正草案

","
時代力量黨團等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

政治獻金法部分條文修正草案

","
時代力量黨團等
","
 1121110   一讀(委員會待審)
"
"
1121110
","

運動產業發展條例增訂第二十四條之一條文草案

","
時代力量黨團等
","
 1121215   三讀
"
"
1121110
","

工會法第三十六條之一及第四十六條條文修正草案

","
時代力量黨團等
","
 1121110   一讀(委員會待審)
"
"
1121103
","

就業服務法第五條條文修正草案

","
李昆澤等
","
 1121103   一讀(委員會待審)
"
"
1121103
","

陸路交通安全基本法草案

","
蘇巧慧等
","
 1121201   三讀
"
"
1121103
","

家庭暴力防治法第六十三條之一條文修正草案

","
林楚茵等
","
 1121103   一讀(委員會待審)
"
"
1121103
","

臺灣地區與大陸地區人民關係條例第九十條條文修正草案

","
林楚茵等
","
 1121103   一讀(委員會待審)
"
"
1121103
","

銀行法增訂第一百三十三條之二條文草案

","
林楚茵等
","
 1121103   一讀(委員會待審)
"
"
1121103
","

金融監督管理委員會組織法第二條及第四條條文修正草案

","
林楚茵等
","
 1121103   一讀(委員會待審)
"
"
1121103
","

水利法部分條文修正草案

","
蘇治芬
","
 1121103   一讀(委員會待審)
"
"
1121103
","

人權教育法草案

","
蘇治芬
","
 1121103   一讀(委員會待審)
"
"
1121103
","

運動產業發展條例增訂第二十四條之一條文草案

","
蘇治芬
","
 1121215   三讀
"
"
1121103
","

最低工資法草案

","
蘇治芬等
","
 1121212   三讀
"
"
1121103
","

性別平等工作法第十五條條文修正草案

","
蘇治芬
","
 1121103   一讀(委員會待審)
"
"
1121103
","

老年農民福利津貼暫行條例第四條條文修正草案

","
陳明文等
","
 1121120   委員會審議中
"
"
1121103
","

勞工退休金條例第十四條條文修正草案

","
陳明文等
","
 1121213   委員會審議中
"
"
1121103
","

廢止農田水利會組織通則

","
陳明文等
","
 1121103   一讀(委員會待審)
"
"
1121103
","

住宅法第四條條文修正草案

","
陳明文等
","
 1121121   三讀
"
"
1121103
","

中華民國刑法第一百八十三條及第二百七十六條條文修正草案

","
陳素月
","
 1121103   一讀(委員會待審)
"
"
1121103
","

廢止行政院大陸委員會組織條例

","
陳素月等
","
 1121103   一讀(委員會待審)
"
"
1121103
","

工廠管理輔導法第三十一條條文修正草案

","
莊競程等
","
 1121103   一讀(委員會待審)
"
"
1121103
","

最低工資法草案

","
莊競程
","
 1121212   三讀
"
"
1121103
","

家庭暴力防治法部分條文修正草案

","
莊競程等
","
 1121103   一讀(委員會待審)
"
"
1121103
","

消防法第四十三條之一條文修正草案

","
莊競程等
","
 1121103   一讀(委員會待審)
"
"
1121103
","

工會法第四條及第六條條文修正草案

","
范雲等
","
 1121103   一讀(委員會待審)
"
"
1121103
","

學生輔導法部分條文修正草案

","
范雲等
","
 1121103   一讀(委員會待審)
"
"
1121103
","

公務人員協會法部分條文修正草案

","
范雲
","
 1121103   退回程序
"
"
1121103
","

國家機密保護法第十二條及第三十九條之一條文修正草案

","
范雲等
","
 1121208   三讀
"
"
1121103
","

長期照顧服務法部分條文修正草案

","
陳靜敏
","
 1121103   一讀(委員會待審)
"
